Bloque;Variable;Nombre_bloque;Nombre_Variable;Descripcion_Variable;Fuente;Unidad
2;2700;DINAMISMO ECONÓMICO;Estimación del producto interior bruto municipal: total;Magnitud macroeconómica que expresa el valor monetario de la producción de bienes y servicios de demanda final de una región durante un período determinado, en este caso un año.;ALMUDENA: Cuentas económicas/Producto Interior Bruto Municipal/Base 2015 actualizada/Estimación del Producto Interior Bruto Municipal: Total (Base 2015 actualizada);€
2;2701;DINAMISMO ECONÓMICO;Estimación del producto interior bruto municipal per cápita: total;Magnitud macroeconómica que expresa el valor monetario de la producción de bienes y servicios de demanda final de una región durante un período determinado, en este caso un año, dividido por la población estimada para mediados del mismo año.;ALMUDENA: Cuentas económicas/Producto Interior Bruto Municipal/Base 2015 actualizada/Estimación del Producto Interior Bruto Municipal per cápita: Total (Base 2015 actualizada);€
2;2702;DINAMISMO ECONÓMICO;Unidades productivas;Conjunto de recursos materiales, incluyendo el factor humano, organizados con el fin de generar uno o más bienes o servicios. Consiste en una serie de elementos, como instalaciones, herramientas y personal, que trabajan en equipo para desarrollar uno o varios productos.;ALMUDENA: Colectivo empresarial/Base 2015/Municipios/Unidades productivas/Unidades productivas. Total (Base 2015);Número de unidades
2;2703;DINAMISMO ECONÓMICO;Número de empresas: total;Número de empresas por sector (CNAE - sistema de numeración que clasifica todas las unidades productoras según su actividad económica principal) y año.;INE: INEbase/Empresas/Explotación estadística del directorio central de empresas. DIRCE/Empresas por municipio y actividad principal;Número de empresas
2;2704;DINAMISMO ECONÓMICO;Número de empresas: b_e_industria;Número de empresas por sector (CNAE - sistema de numeración que clasifica todas las unidades productoras según su actividad económica principal) y año.;INE: INEbase/Empresas/Explotación estadística del directorio central de empresas. DIRCE/Empresas por municipio y actividad principal;Número de empresas
2;2705;DINAMISMO ECONÓMICO;Número de empresas: f_construccion;Número de empresas por sector (CNAE - sistema de numeración que clasifica todas las unidades productoras según su actividad económica principal) y año.;INE: INEbase/Empresas/Explotación estadística del directorio central de empresas. DIRCE/Empresas por municipio y actividad principal;Número de empresas
2;2706;DINAMISMO ECONÓMICO;Número de empresas: comercio_transporte_hosteleria;Número de empresas por sector (CNAE - sistema de numeración que clasifica todas las unidades productoras según su actividad económica principal) y año.;INE: INEbase/Empresas/Explotación estadística del directorio central de empresas. DIRCE/Empresas por municipio y actividad principal;Número de empresas
2;2707;DINAMISMO ECONÓMICO;Número de empresas: j_informacion_comunicaciones;Número de empresas por sector (CNAE - sistema de numeración que clasifica todas las unidades productoras según su actividad económica principal) y año.;INE: INEbase/Empresas/Explotación estadística del directorio central de empresas. DIRCE/Empresas por municipio y actividad principal;Número de empresas
2;2708;DINAMISMO ECONÓMICO;Número de empresas: k_actividades_financieras_seguros;Número de empresas por sector (CNAE - sistema de numeración que clasifica todas las unidades productoras según su actividad económica principal) y año.;INE: INEbase/Empresas/Explotación estadística del directorio central de empresas. DIRCE/Empresas por municipio y actividad principal;Número de empresas
2;2709;DINAMISMO ECONÓMICO;Número de empresas: l_actividades_inmobiliarias;Número de empresas por sector (CNAE - sistema de numeración que clasifica todas las unidades productoras según su actividad económica principal) y año.;INE: INEbase/Empresas/Explotación estadística del directorio central de empresas. DIRCE/Empresas por municipio y actividad principal;Número de empresas
2;2710;DINAMISMO ECONÓMICO;Número de empresas: actividades_profesionales_tecnicas;Número de empresas por sector (CNAE - sistema de numeración que clasifica todas las unidades productoras según su actividad económica principal) y año.;INE: INEbase/Empresas/Explotación estadística del directorio central de empresas. DIRCE/Empresas por municipio y actividad principal;Número de empresas
2;2711;DINAMISMO ECONÓMICO;Número de empresas: educacion_sanidad_servicios_sociales;Número de empresas por sector (CNAE - sistema de numeración que clasifica todas las unidades productoras según su actividad económica principal) y año.;INE: INEbase/Empresas/Explotación estadística del directorio central de empresas. DIRCE/Empresas por municipio y actividad principal;Número de empresas
2;2712;DINAMISMO ECONÓMICO;Número de empresas: otros_servicios_personales;Número de empresas por sector (CNAE - sistema de numeración que clasifica todas las unidades productoras según su actividad económica principal) y año.;INE: INEbase/Empresas/Explotación estadística del directorio central de empresas. DIRCE/Empresas por municipio y actividad principal;Número de empresas
2;2713;DINAMISMO ECONÓMICO;Número de empresas: total_servicios;Número de empresas por sector (CNAE - sistema de numeración que clasifica todas las unidades productoras según su actividad económica principal) y año.;INE: INEbase/Empresas/Explotación estadística del directorio central de empresas. DIRCE/Empresas por municipio y actividad principal;Número de empresas
